Year,Shirts,Hoodies,Hats
2000,$14.99,$45.99,$25.99
2001,$19.99,$45.99,$25.99
2002,$19.99,$45.99,$25.99
2003,$19.99,$49.99,$29.99
2004,$19.99,$49.99,$29.99
2005,$19.99,$49.99,$29.99
2006,$19.99,$49.99,$29.99
2007,$19.99,$49.99,$29.99
2008,$19.99,$49.99,$29.99
2009,$19.99,$49.99,$29.99
2010,$27.99,$69.99,$34.99
2011,$27.99,$69.99,$34.99
2012,$27.99,$69.99,$34.99
2013,$27.99,$69.99,$34.99
2014,$27.95,$64.95,$34.95
2015,$27.99,$69.99 ,$35.99
2016,$27.99,$69.99 ,$35.99
2017,$27.99,$69.99 ,$35.99
2018,$34.99,$69.99 ,$37.99
2019,$34.99,$69.99 ,$37.99
2020,$34.99,$69.99 ,$37.99
